
Name                                     Category            
----                                     --------            
frm1stGroupBalance                       Form (UI Window)    
frm2ndGroupBalance                       Form (UI Window)    
frm3rdGroupBalance                       Form (UI Window)    
frm4thGroupBalance                       Form (UI Window)    
frmAcceptYesNo                           Form (UI Window)    
frmAccountBooksRajasthan                 Form (UI Window)    
frmAccountInfo                           Form (UI Window)    
frmAgeWiseReportOptions                  Form (UI Window)    
frmAnnualIFrmSaleReport                  Form (UI Window)    
frmAnnualReportOptions                   Form (UI Window)    
frmAuditTrail                            Form (UI Window)    
frmAutoClosingStock                      Form (UI Window)    
frmAutoEntryExpenses                     Form (UI Window)    
frmAutoSaleScreen                        Form (UI Window)    
frmAutoVoucherEntryOptions               Form (UI Window)    
frmBalanceSheet                          Form (UI Window)    
frmBalanceSheetOptions                   Form (UI Window)    
frmBalesSrNoList                         Form (UI Window)    
frmBalSheetOptions                       Form (UI Window)    
frmBankAccount                           Form (UI Window)    
frmBankAccountsList                      Form (UI Window)    
frmBardanaPartiesList                    Form (UI Window)    
frmBardanaStockOptions                   Form (UI Window)    
frmBardanaStockReportBCPA                Form (UI Window)    
frmBardanaStockReportParty               Form (UI Window)    
frmBardanaVoucher                        Form (UI Window)    
frmBikriIssueVoucher                     Form (UI Window)    
frmBikriVoucher                          Form (UI Window)    
frmBikriVoucherOptions                   Form (UI Window)    
frmBikriVouchers                         Form (UI Window)    
frmBillSeries                            Form (UI Window)    
frmBillWisePendingBillsOptions           Form (UI Window)    
frmBillWiseReportAutomatic               Form (UI Window)    
frmBillWiseReportManual                  Form (UI Window)    
frmBillWiseVoucherOptions                Form (UI Window)    
frmBooksSettings                         Form (UI Window)    
frmBreakAccountingYear                   Form (UI Window)    
frmBrokerageVoucher                      Form (UI Window)    
frmBrokerList                            Form (UI Window)    
frmBSheetOptions                         Form (UI Window)    
frmCalculator                            Form (UI Window)    
frmCapitalAccount                        Form (UI Window)    
frmCapitalAccountsList                   Form (UI Window)    
frmCashBankInflowOutflow                 Form (UI Window)    
frmCashBook                              Form (UI Window)    
frmCashBookFlat                          Form (UI Window)    
frmCashBookOptions                       Form (UI Window)    
frmCashDailyBalance                      Form (UI Window)    
frmChallanVoucher                        Form (UI Window)    
frmChallanVouchers                       Form (UI Window)    
frmCheckPasswd                           Form (UI Window)    
frmChequePrintingOptions                 Form (UI Window)    
frmChequePrintingVoucher                 Form (UI Window)    
frmChequesList                           Form (UI Window)    
frmChqPymtVoucher                        Form (UI Window)    
frmChqPymtVoucherA                       Form (UI Window)    
frmChqRcptVoucher                        Form (UI Window)    
